Primary_Key_2018_2019,School_Name,Grade_Test_Type,Mastery_Level,Baseline_Year,Compared_Year,YOY_State_2019,YOY_Region_2019,YOY_District_2019,YOY_African_American_2019,YoY_Hispanic_2019,YoY_White_2019,YoY_Econ_Disadv_2019,YoY_ELL_2019,Primary_Key_2019_2021,YOY_State_2021,YOY_Region_2021,YOY_District_2021,YOY_African_American_2021,YoY_Hispanic_2021,YoY_White_2021,YoY_Econ_Disadv_2021,YoY_ELL_2021,Primary_Key_2021_2022,YOY_State_2022,YOY_Region_2022,YOY_District_2022,YOY_African_American_2022,YoY_Hispanic_2022,YoY_White_2022,YoY_Econ_Disadv_2022,YoY_ELL_2022
Channelview_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.04,-0.11,-0.02,-0.14,-0.05,-0.04,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 3 Reading_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,2019,0.02,0.02,0.04,0.05,0.05,-0.05,0.02,0.05,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 3 Reading_At Masters Grade Level_2019,Channelview_ISD,Grade 3 Reading,At Masters Grade Level,2018,2019,0.02,0.03,0.06,0.07,0.07,-0.02,0.07,0.03,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,0.01,0.13,0.001,-0.07,0.02,0.01,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,0.04,-0.04,0.04,0.04,0.06,0.07,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 4 Mathematics_At Masters Grade Level_2019,Channelview_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,2019,0.01,0.01,0.04,-0.08,0.08,-0.12,0.06,0.1,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.02,0.07,0.001,0.08,0.01,0.09,0.09,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 4 Reading_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.01,-0.04,-0.07,-0.03,-0.01,-0.03,-0.02,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 4 Reading_At Masters Grade Level_2019,Channelview_ISD,Grade 4 Reading,At Masters Grade Level,2018,2019,-0.02,-0.02,-0.01,0.01,-0.02,0.001,0.001,-0.01,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.02,-0.03,-0.03,0.001,-0.04,-0.03,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,-0.05,0.13,-0.06,-0.08,-0.06,-0.07,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 5 Mathematics+_At Masters Grade Level_2019,Channelview_ISD,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,0.05,0.04,0.04,0.1,0.04,0.04,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2018,2019,0.02,0.03,0.03,0.14,0.001,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2018,2019,0.001,0.0,-0.02,0.04,-0.02,-0.14,-0.02,0.04,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 5 Reading+_At Masters Grade Level_2019,Channelview_ISD,Grade 5 Reading+,At Masters Grade Level,2018,2019,0.03,0.03,0.01,0.03,-0.01,0.04,0.01,0.03,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 5 Science_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 5 Science,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.01,0.07,-0.03,0.1,-0.04,-0.05,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 5 Science_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 5 Science,At Meets Grade Level or Above,2018,2019,0.08,0.08,0.1,0.09,0.08,0.16,0.09,0.07,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 5 Science_At Masters Grade Level_2019,Channelview_ISD,Grade 5 Science,At Masters Grade Level,2018,2019,0.07,0.07,0.07,0.07,0.06,0.05,0.06,0.06,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2018,2019,0.04,0.03,0.07,-0.04,0.08,0.2,0.07,0.07,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 6 Mathematics_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.02,0.11,-0.04,0.1,0.28,0.1,0.12,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 6 Mathematics_At Masters Grade Level_2019,Channelview_ISD,Grade 6 Mathematics,At Masters Grade Level,2018,2019,0.03,0.02,0.04,-0.06,0.04,0.16,0.03,0.06,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 6 Reading_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.02,0.02,-0.05,0.01,0.26,0.001,-0.03,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 6 Reading_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 6 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.03,0.001,0.001,-0.01,0.1,-0.03,-0.03,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 6 Reading_At Masters Grade Level_2019,Channelview_ISD,Grade 6 Reading,At Masters Grade Level,2018,2019,-0.01,-0.01,0.01,-0.02,0.001,0.07,0.001,0.01,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2018,2019,0.03,0.02,-0.06,0.17,-0.1,0.01,-0.07,-0.1,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 7 Mathematics_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.03,-0.03,0.03,-0.06,0.16,-0.04,-0.01,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 7 Reading_At Approaches Grade Level or Above_2019,Channelview_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.01,0.08,0.07,0.07,0.03,0.06,0.12,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 7 Reading_At Meets Grade Level or Above_2019,Channelview_ISD,Grade 7 Reading,At Meets Grade Level or Above,2018,2019,0.01,0.01,0.09,-0.03,0.1,0.17,0.06,0.14,,,,,,,,,,,,,,,,,,
Channelview_ISD_Grade 7 Reading_At Masters Grade Level_2019,Channelview_ISD,Grade 7 Reading,At Masters Grade Level,2018,2019,0.001,0.01,0.04,-0.02,0.05,0.03,0.02,0.08,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2019,Crosby_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,2019,0.01,0.0,0.02,0.15,0.02,-0.01,0.06,-0.02,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2019,Crosby_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,0.08,0.08,0.07,0.1,0.09,0.06,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 3 Mathematics_At Masters Grade Level_2019,Crosby_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,0.05,-0.06,0.07,0.05,0.04,0.05,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2019,Crosby_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,0.02,0.03,0.001,0.03,0.03,-0.04,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 3 Reading_At Meets Grade Level or Above_2019,Crosby_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,2019,0.02,0.02,0.04,0.06,0.07,0.02,0.05,0.02,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 3 Reading_At Masters Grade Level_2019,Crosby_ISD,Grade 3 Reading,At Masters Grade Level,2018,2019,0.02,0.03,0.06,0.01,0.11,0.06,0.05,0.06,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,Crosby_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,-0.15,-0.26,-0.12,-0.15,-0.15,-0.06,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2019,Crosby_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,-0.17,-0.24,-0.12,-0.17,-0.16,-0.03,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 4 Mathematics_At Masters Grade Level_2019,Crosby_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,2019,0.01,0.01,-0.09,-0.12,-0.09,-0.07,-0.09,-0.08,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2019,Crosby_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.02,0.001,-0.11,0.09,-0.04,-0.01,0.08,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 4 Reading_At Meets Grade Level or Above_2019,Crosby_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.01,-0.03,-0.18,0.03,-0.01,-0.05,0.04,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 4 Reading_At Masters Grade Level_2019,Crosby_ISD,Grade 4 Reading,At Masters Grade Level,2018,2019,-0.02,-0.02,-0.03,-0.04,0.001,-0.06,-0.05,0.07,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,Crosby_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,0.01,0.05,0.001,-0.01,0.01,0.001,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,Crosby_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,-0.02,0.03,-0.05,-0.02,-0.01,-0.14,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 5 Mathematics+_At Masters Grade Level_2019,Crosby_ISD,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,0.04,0.09,0.06,0.01,0.1,0.05,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2019,Crosby_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2018,2019,0.02,0.03,-0.01,-0.06,-0.04,0.03,-0.02,-0.06,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2019,Crosby_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2018,2019,0.001,0.0,-0.01,-0.04,0.02,-0.05,0.02,-0.03,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 5 Reading+_At Masters Grade Level_2019,Crosby_ISD,Grade 5 Reading+,At Masters Grade Level,2018,2019,0.03,0.03,0.03,-0.01,0.09,-0.01,0.05,0.03,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 5 Science_At Approaches Grade Level or Above_2019,Crosby_ISD,Grade 5 Science,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.02,0.04,-0.04,-0.03,-0.01,-0.09,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 5 Science_At Meets Grade Level or Above_2019,Crosby_ISD,Grade 5 Science,At Meets Grade Level or Above,2018,2019,0.08,0.08,0.07,0.12,0.09,0.04,0.1,0.03,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 5 Science_At Masters Grade Level_2019,Crosby_ISD,Grade 5 Science,At Masters Grade Level,2018,2019,0.07,0.07,0.08,0.02,0.13,0.04,0.08,0.1,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above_2019,Crosby_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2018,2019,0.04,0.03,0.05,0.16,0.06,0.01,0.09,0.06,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 6 Mathematics_At Meets Grade Level or Above_2019,Crosby_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.02,0.05,0.14,0.06,-0.01,0.08,0.02,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 6 Mathematics_At Masters Grade Level_2019,Crosby_ISD,Grade 6 Mathematics,At Masters Grade Level,2018,2019,0.03,0.02,0.05,0.06,0.05,0.05,0.05,0.03,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 6 Reading_At Approaches Grade Level or Above_2019,Crosby_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.02,0.06,0.05,0.1,0.02,0.09,0.08,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 6 Reading_At Meets Grade Level or Above_2019,Crosby_ISD,Grade 6 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.03,0.06,0.09,0.05,0.07,0.05,0.05,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 6 Reading_At Masters Grade Level_2019,Crosby_ISD,Grade 6 Reading,At Masters Grade Level,2018,2019,-0.01,-0.01,-0.01,0.02,0.001,-0.03,-0.01,0.01,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above_2019,Crosby_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2018,2019,0.03,0.02,-0.03,0.01,-0.08,0.01,-0.05,-0.12,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 7 Mathematics_At Meets Grade Level or Above_2019,Crosby_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.03,-0.07,-0.01,-0.11,-0.01,-0.11,-0.19,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 7 Mathematics_At Masters Grade Level_2019,Crosby_ISD,Grade 7 Mathematics,At Masters Grade Level,2018,2019,-0.01,-0.02,-0.09,-0.04,-0.1,-0.07,-0.08,-0.12,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 7 Reading_At Approaches Grade Level or Above_2019,Crosby_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.01,-0.05,-0.08,0.03,-0.07,-0.05,-0.04,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 7 Reading_At Meets Grade Level or Above_2019,Crosby_ISD,Grade 7 Reading,At Meets Grade Level or Above,2018,2019,0.01,0.01,-0.01,-0.04,-0.01,0.04,-0.03,-0.07,,,,,,,,,,,,,,,,,,
Crosby_ISD_Grade 7 Reading_At Masters Grade Level_2019,Crosby_ISD,Grade 7 Reading,At Masters Grade Level,2018,2019,0.001,0.01,0.01,-0.01,-0.03,0.05,-0.01,-0.05,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,2019,0.01,0.0,0.01,0.01,0.01,0.001,0.01,0.01,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,-0.01,-0.01,-0.01,0.001,-0.01,-0.03,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 3 Mathematics_At Masters Grade Level_2019,Cypress_Fairbanks_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,-0.02,-0.02,-0.02,0.01,-0.02,-0.03,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.02,-0.01,-0.02,-0.04,-0.02,-0.01,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 3 Reading_At Meets Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,2019,0.02,0.02,0.001,0.02,0.01,-0.04,0.01,0.04,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 3 Reading_At Masters Grade Level_2019,Cypress_Fairbanks_ISD,Grade 3 Reading,At Masters Grade Level,2018,2019,0.02,0.03,0.01,0.04,0.03,-0.02,0.03,0.04,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,-0.04,-0.09,-0.03,-0.01,-0.05,-0.03,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,-0.02,-0.05,-0.01,-0.03,-0.02,0.001,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 4 Mathematics_At Masters Grade Level_2019,Cypress_Fairbanks_ISD,Grade 4 Mathematics,At Masters Grade Level,2018,2019,0.01,0.01,0.001,0.001,-0.01,0.01,0.001,0.001,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.02,0.001,-0.02,0.01,-0.01,0.01,0.04,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 4 Reading_At Meets Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 4 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.01,-0.05,-0.06,-0.05,-0.04,-0.05,-0.03,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 4 Reading_At Masters Grade Level_2019,Cypress_Fairbanks_ISD,Grade 4 Reading,At Masters Grade Level,2018,2019,-0.02,-0.02,-0.05,-0.06,-0.05,-0.05,-0.05,-0.04,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 5 Mathematics+_At Approaches Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 5 Mathematics+,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.01,-0.01,0.001,-0.01,-0.01,-0.01,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 5 Mathematics+_At Meets Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 5 Mathematics+,At Meets Grade Level or Above,2018,2019,0.001,0.01,0.001,0.03,0.01,-0.04,0.01,0.001,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 5 Mathematics+_At Masters Grade Level_2019,Cypress_Fairbanks_ISD,Grade 5 Mathematics+,At Masters Grade Level,2018,2019,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 5 Reading+_At Approaches Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Approaches Grade Level or Above,2018,2019,0.02,0.03,0.02,0.03,0.02,0.01,0.03,0.02,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 5 Reading+_At Meets Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Meets Grade Level or Above,2018,2019,0.001,0.0,0.001,0.02,0.001,-0.01,0.001,-0.01,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 5 Reading+_At Masters Grade Level_2019,Cypress_Fairbanks_ISD,Grade 5 Reading+,At Masters Grade Level,2018,2019,0.03,0.03,0.03,0.06,0.03,0.001,0.03,0.02,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 5 Science_At Approaches Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 5 Science,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,0.001,0.001,0.01,-0.01,0.01,0.01,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 5 Science_At Meets Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 5 Science,At Meets Grade Level or Above,2018,2019,0.08,0.08,0.13,0.12,0.15,0.09,0.14,0.14,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 5 Science_At Masters Grade Level_2019,Cypress_Fairbanks_ISD,Grade 5 Science,At Masters Grade Level,2018,2019,0.07,0.07,0.15,0.12,0.13,0.17,0.11,0.13,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2018,2019,0.04,0.03,0.02,0.001,0.04,0.01,0.03,0.02,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 6 Mathematics_At Meets Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.02,0.001,0.001,0.03,-0.01,0.001,-0.02,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 6 Mathematics_At Masters Grade Level_2019,Cypress_Fairbanks_ISD,Grade 6 Mathematics,At Masters Grade Level,2018,2019,0.03,0.02,0.04,0.01,0.05,0.06,0.04,0.02,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 6 Reading_At Approaches Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.02,-0.01,-0.03,0.001,-0.01,-0.01,-0.05,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 6 Reading_At Meets Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 6 Reading,At Meets Grade Level or Above,2018,2019,-0.02,-0.03,-0.03,0.001,-0.01,-0.02,-0.02,-0.06,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 6 Reading_At Masters Grade Level_2019,Cypress_Fairbanks_ISD,Grade 6 Reading,At Masters Grade Level,2018,2019,-0.01,-0.01,-0.02,-0.01,0.001,-0.02,-0.01,-0.03,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2018,2019,0.03,0.02,0.02,0.03,0.01,0.01,0.03,0.02,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 7 Mathematics_At Meets Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2018,2019,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.03,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 7 Mathematics_At Masters Grade Level_2019,Cypress_Fairbanks_ISD,Grade 7 Mathematics,At Masters Grade Level,2018,2019,-0.01,-0.02,-0.03,-0.01,-0.04,-0.04,-0.03,-0.01,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 7 Reading_At Approaches Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2018,2019,0.02,0.01,0.02,0.04,0.001,0.01,0.03,0.01,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 7 Reading_At Meets Grade Level or Above_2019,Cypress_Fairbanks_ISD,Grade 7 Reading,At Meets Grade Level or Above,2018,2019,0.01,0.01,0.03,0.04,0.03,0.03,0.03,0.02,,,,,,,,,,,,,,,,,,
Cypress_Fairbanks_ISD_Grade 7 Reading_At Masters Grade Level_2019,Cypress_Fairbanks_ISD,Grade 7 Reading,At Masters Grade Level,2018,2019,0.001,0.01,0.03,0.04,0.02,0.03,0.03,0.04,,,,,,,,,,,,,,,,,,
Deer_Park_ISD_Grade 3 Mathematics_At Approaches Grade Level or Above_2019,Deer_Park_ISD,Grade 3 Mathematics,At Approaches Grade Level or Above,2018,2019,0.01,0.0,-0.02,0.001,-0.01,-0.04,-0.05,-0.05,,,,,,,,,,,,,,,,,,
Deer_Park_ISD_Grade 3 Mathematics_At Meets Grade Level or Above_2019,Deer_Park_ISD,Grade 3 Mathematics,At Meets Grade Level or Above,2018,2019,0.02,0.01,0.01,-0.11,0.001,0.001,-0.02,0.01,,,,,,,,,,,,,,,,,,
Deer_Park_ISD_Grade 3 Mathematics_At Masters Grade Level_2019,Deer_Park_ISD,Grade 3 Mathematics,At Masters Grade Level,2018,2019,0.02,0.01,-0.01,-0.02,-0.03,0.01,-0.05,0.01,,,,,,,,,,,,,,,,,,
Deer_Park_ISD_Grade 3 Reading_At Approaches Grade Level or Above_2019,Deer_Park_ISD,Grade 3 Reading,At Approaches Grade Level or Above,2018,2019,-0.01,-0.01,-0.01,-0.11,-0.01,-0.03,-0.03,-0.12,,,,,,,,,,,,,,,,,,
Deer_Park_ISD_Grade 3 Reading_At Meets Grade Level or Above_2019,Deer_Park_ISD,Grade 3 Reading,At Meets Grade Level or Above,2018,2019,0.02,0.02,-0.01,0.05,-0.02,-0.01,-0.05,-0.09,,,,,,,,,,,,,,,,,,
Deer_Park_ISD_Grade 3 Reading_At Masters Grade Level_2019,Deer_Park_ISD,Grade 3 Reading,At Masters Grade Level,2018,2019,0.02,0.03,0.01,0.02,0.001,0.001,-0.01,-0.05,,,,,,,,,,,,,,,,,,
Deer_Park_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2019,Deer_Park_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2018,2019,-0.03,-0.04,-0.03,-0.04,-0.02,-0.04,-0.04,0.001,,,,,,,,,,,,,,,,,,
Deer_Park_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2019,Deer_Park_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2018,2019,-0.01,-0.02,-0.05,0.001,-0.05,-0.07,-0.06,-0.07,,,,,,,,,,,,,,,,,,
